State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Rural_Households,Urban_Households,Households_with_Internet,Housholds_with_Electric_Lighting,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Sex_Ratio,Literacy_Rate,Gender_Parity_Index ,Illiterate_Education_Rate,Literate_Education_Rate
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,171,991730,527721,464009,531072,330339,200733,955372,34559,693,63,101,285,27,207237,23558,827,41046,168472,174106,124256,69641,40266,35826,3660,616227,383908,1000135,638046,214228,136669,879.0,54.0,0.6825396825396826,38.0,62.0
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,190,3100946,1537436,1563510,1875239,1079288,795951,2730957,358539,3626,818,1182,209,146,597778,67928,4469,150001,602403,473097,449571,372031,277548,194341,23334,2392325,1130108,3522433,1946336,664708,481219,1017.0,60.0,0.7285714285714285,32.0,68.0
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,201,1774480,947339,827141,1055202,647042,408160,1611126,146346,2464,708,2887,5671,18,334246,67752,2635,69591,238019,214091,201984,178434,119665,88607,8092,1048892,718310,1767202,1149372,383707,237427,873.0,59.0,0.7205882352941176,41.0,59.0
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,161,1581810,845856,735954,1062003,623583,438420,1457892,113961,1362,1045,1733,3917,94,265643,85483,2964,113098,171216,292852,298700,195192,121283,118571,13400,1211214,397708,1608922,979633,362026,237786,870.0,67.0,0.8108108108108109,25.0,75.0
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,177,2470996,1259628,1211368,1450901,838339,612562,2094271,365806,3225,1912,737,358,185,510378,79288,4746,127754,356093,361114,347114,231129,176303,179996,18947,1670696,981915,2652611,1534832,543148,367332,962.0,59.0,0.7611940298507462,37.0,63.0
Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,159,1885204,1006240,878964,1092677,654827,437850,1596278,276846,3137,3160,3161,487,100,316647,94843,2624,88081,270550,330084,257279,184298,115069,110391,9368,1277039,710960,1987999,1224584,411153,246795,874.0,58.0,0.7692307692307693,36.0,64.0
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,172,2632733,1384722,1248011,1512166,911003,601163,2274674,350700,2201,402,172,199,47,558807,77733,3385,75263,409875,463642,376472,227119,134445,116445,10212,1738210,895178,2633388,1624830,603831,395547,901.0,57.0,0.7272727272727273,34.0,66.0
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,147,2498156,1332046,1166110,1521806,912314,609492,2140745,314812,3370,1804,3395,19077,61,349747,185621,5834,196080,324525,416295,368905,277163,166249,108627,11313,1673077,672115,2345192,1621154,543730,312689,875.0,61.0,0.7647058823529411,29.0,71.0
Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,141,1648115,890214,757901,1122947,666065,456882,1394025,215500,7366,9261,895,4518,91,170835,338935,53181,257586,201277,330623,283031,218587,194796,101645,5058,1335017,342284,1677301,1015648,402967,188862,851.0,68.0,0.8,20.0,80.0
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,140,4681645,2488834,2192811,3123264,1811397,1311867,3414427,1186776,19026,23001,3487,16412,265,355407,836316,78116,695130,534606,858286,797473,597661,475439,255949,26399,3545813,885070,4430883,2891069,1139871,559963,881.0,67.0,0.821917808219178,20.0,80.0
